BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Ciudad Los Álamos,-4.59E+18,1.00185E+11,0.06
El Jardín,-6.22E+18,1.00151E+11,0.06
Chapinero,-2.12E+18,99964942865,0.06
El Sena,3.45E+17,99397800915,0.06
Chapinero,-5.79E+18,99397334250,0.06
La Rivera,-9.16E+18,98975947004,0.06
Buenos Aires,3.02E+18,98791871805,0.06
La Rivera,6.50E+18,98728254592,0.06
Alto Jordán,-5.78E+18,98206090580,0.06
Guayaquil,-5.24E+18,98077064415,0.06
El Ángel del Hogar,3.80E+18,97363221840,0.06
El Cedro,8.68E+18,97189361451,0.06
Prados del Norte,-6.91E+18,97108972752,0.06
La Merced,-5.79E+18,96850882350,0.06
La Merced,-3.43E+18,96850882350,0.06
San Vicente,-6.03E+17,96790800931,0.06
Ville Grande,2.70E+18,96227956850,0.06
El Jardín,5.91E+17,95665956940,0.06
Junin,-9.18E+18,95432747652,0.06
Urbanización Militar,-2.19E+18,95371102850,0.06
Caldas,-6.32E+18,95362518470,0.06
Urbanización San Juaquín,-8.69E+18,95358501840,0.06
El Guabal,-5.31E+18,95181418720,0.06
San Nicolás,-8.47E+18,94777144814,0.06
Versalles,-4.31E+18,94048337009,0.06
Unidad Residencial Santiago de Cali,-3.13E+18,93878593720,0.06
El Sena,3.79E+18,93875519570,0.06
Ville Grande,5.00E+18,93806602200,0.06
Ville Grande,1.97E+18,93715892135,0.06
San Vicente,1.37E+18,93714620533,0.06
San Vicente,-5.79E+18,93714620533,0.06
Chapinero,9.20E+18,93420297790,0.06
Ville Grande,4.87E+17,92299297265,0.06
Centenario,4.59E+18,91241218170,0.06
Área Libre-Parque del Amor,-7.28E+18,91156220105,0.06
San Vicente,7.78E+18,91114737780,0.06
Versalles,6.62E+17,91114558348,0.06
Prados del Norte,3.48E+18,91040588221,0.06
Puerta del Sol,-2.68E+17,90960062770,0.06
Unicentro Cali,-8.69E+18,90606068260,0.06
Desepaz Invicali,-9.86E+17,90406035540,0.06
La Independencia,-5.85E+18,90248337480,0.06
San Nicolás,4.11E+18,90059387699,0.06
Las Granjas,6.02E+18,89977963250,0.06
La Independencia,-3.04E+18,89957801185,0.06
La Independencia,-7.55E+18,89677672800,0.06
José M. Córdoba,-7.26E+18,89496385030,0.06
Primero de Mayo,5.25E+18,89251398240,0.06
El Ángel del Hogar,-2.67E+18,89249620020,0.06
Los Guayacanes,5.58E+18,89249617490,0.06
Unicentro Cali,3.57E+18,88353685040,0.06
El Sena,5.73E+18,88353432765,0.06
El Sena,2.36E+18,88353425230,0.06
Chapinero,4.74E+18,88353316740,0.06
Chapinero,4.48E+18,88353186000,0.06
El Troncal,-8.82E+18,88192917680,0.06
Siete de Agosto,-3.00E+18,87995521410,0.06
Granada,-7.12E+17,87688121720,0.05
Municipal,-6.62E+18,87171074650,0.05
Sucre,8.76E+18,86155399270,0.05
Manzanares,6.85E+18,86140512660,0.05
Sucre,-1.41E+18,86089696520,0.05
Sucre,-2.29E+17,86089673280,0.05
San Vicente,2.16E+18,85866953260,0.05
Alfonso López I,7.64E+18,85761957580,0.05
Unicentro Cali,7.33E+18,85515165570,0.05
Versalles,6.51E+18,85178311196,0.05
San Vicente,3.69E+18,85039651851,0.05
Colseguros Andes,-6.68E+18,84983580860,0.05
El Calvario,8.88E+18,84872921200,0.05
Urbanización San Juaquín,6.05E+18,84148214810,0.05
Calima,8.69E+18,84091373030,0.05
San Nicolás,-4.77E+18,83979730197,0.05
Urbanización San Juaquín,-4.59E+18,83654947475,0.05
Industrial,-5.85E+17,83078036668,0.05
Ciudad Córdoba,4.22E+17,83059425240,0.05
Unicentro Cali,1.06E+18,82976534010,0.05
Unidad Residencial Santiago de Cali,-4.96E+17,82832843830,0.05
Chapinero,-5.79E+18,82831922875,0.05
Chapinero,9.04E+18,82831111880,0.05
Los Parques,1.69E+18,82680872870,0.05
Villa Colombia,-5.85E+17,81136122475,0.05
Julio Rincón,7.68E+18,81136081060,0.05
Villa Colombia,3.12E+18,81136019100,0.05
Flora Industrial,4.76E+18,81073220320,0.05
Sucre,7.13E+18,80709068700,0.05
Los Comuneros II,6.03E+18,79875799350,0.05
El Calvario,-7.51E+16,79568363630,0.05
Ville Grande,7.34E+18,79381882220,0.05
San Vicente,-6.32E+18,79137433287,0.05
El Cedro,-2.34E+18,78966524412,0.05
Colseguros Andes,-5.57E+17,78772136220,0.05
San Nicolás,-7.93E+18,78580503865,0.05
Calima,-1.59E+18,78485281490,0.05
Municipal,-1.08E+18,78453967190,0.05
El Jordán,6.07E+18,78367405160,0.05
El Jardín,-3.39E+17,78360867240,0.05
El Sena,6.33E+18,78094475510,0.05
El Sena,3.71E+17,77993125405,0.05
Calima,-2.68E+17,77954600340,0.05
San Luis II,7.37E+17,77791832720,0.05
La Selva,7.61E+18,77613865940,0.05
El Sena,8.37E+17,77309583245,0.05
Chapinero,8.87E+18,77309037750,0.05
Versalles,-6.32E+18,77309033736,0.05
Sucre,-3.19E+18,77299718530,0.05
Los Libertadores,-8.17E+18,77038392570,0.05
Laureano Gómez,7.39E+18,77007771400,0.05
El Sena,-6.94E+18,76515223395,0.05
Desepaz Invicali,2.58E+18,76047661540,0.05
Lili,-8.30E+18,75742603305,0.05
Lili,5.09E+18,75483194230,0.05
Sucre,8.59E+18,75394140770,0.05
El Guabal,-8.41E+18,74877841670,0.05
El Guabal,6.75E+18,74877841670,0.05
Los Comuneros II,-6.52E+18,74550746060,0.05
Los Comuneros II,5.15E+18,74550746060,0.05
Junin,-2.55E+18,74142048041,0.05
El Poblado,8.88E+18,73501805785,0.05
Villa Colombia,-5.79E+18,73022520565,0.05
Julio Rincón,-2.68E+17,73022419735,0.05
La Independencia,2.51E+18,73022418450,0.05
Meléndez,1.14E+18,73022410080,0.05
El Sena,1.24E+18,73022406930,0.05
El Gran Limonar,3.79E+18,72960405722,0.05
Unicentro Cali,-4.67E+18,72930851110,0.05
Calima,-4.35E+18,72879189960,0.05
Urbanización San Juaquín,5.66E+18,72879189890,0.05
La Paz,4.52E+18,72840910935,0.05
Bretana,3.52E+18,72349618120,0.05
La Paz,-7.90E+18,72091417570,0.05
Ciudad Córdoba,-6.77E+18,72020956635,0.05
Guayaquil,7.80E+18,71923180571,0.05
Unidad Residencial Santiago de Cali,-4.09E+18,71848110765,0.05
Unicentro Cali,4.40E+18,71788234400,0.05
Unidad Residencial Santiago de Cali,3.79E+18,71787683485,0.05
Bolivariano,-1.89E+18,71787533480,0.05
San Pedro,-2.55E+18,71399695400,0.04
San Fernando Viejo,-3.94E+18,71399695136,0.04
San Judas Tadeo II,9.37E+17,70939244880,0.04
Villa del Prado-El Guabito,-6.43E+18,70573981085,0.04
Siete de Agosto,-1.79E+18,70502862360,0.04
Calimio Desepaz,-6.32E+18,70219786900,0.04
Lili,5.66E+18,69948374370,0.04
Granada,-6.32E+18,69925404890,0.04
San Nicolás,-7.92E+17,69617608720,0.04
Santa Elena,-5.79E+18,69570264230,0.04
Urbanización Tequendama,-7.24E+18,69507398840,0.04
La Selva,3.79E+18,68434706700,0.04
Canaveralejo-Seguros Patria,-6.90E+18,68296118633,0.04
Alfonso López I,1.01E+18,68083175760,0.04
La Rivera,-1.79E+18,67999521238,0.04
El Sena,-2.30E+18,67839371920,0.04
Ville Grande,-2.77E+18,67660477675,0.04
Ciudad Córdoba,1.16E+17,67450875595,0.04
Urbanización Militar,2.34E+18,67274863180,0.04
Calima,-3.19E+18,67273098420,0.04
Alfonso Bonilla Aragón,3.79E+18,67247967245,0.04
San Vicente,6.67E+18,67033931168,0.04
San Vicente,4.64E+18,66880122793,0.04
El Cedro,1.94E+18,66818141753,0.04
El Cedro,-1.86E+18,66817964494,0.04
Versalles,-3.58E+18,66817342790,0.04
Calima,7.14E+18,66742417270,0.04
El Sena,-5.70E+18,66400509055,0.04
El Sena,-5.95E+18,66337379425,0.04
El Sena,-6.52E+18,66266173595,0.04
Unicentro Cali,-5.51E+18,66265398455,0.04
El Sena,-4.03E+18,66265285345,0.04
Chapinero,2.68E+18,66265113100,0.04
Chapinero,-5.68E+18,66264889500,0.04
Los Cambulos,6.62E+18,65977503285,0.04
Las Delicias,4.43E+18,65970736500,0.04
Paseo de los Almendros,4.91E+17,65718744660,0.04
Lili,-7.09E+18,65628471365,0.04
Guayaquil,4.87E+18,65384709610,0.04
El Calvario,-7.79E+18,65293030315,0.04
Unicentro Cali,1.72E+18,65250739760,0.04
Los Guaduales,5.66E+18,65144759680,0.04
José M. Córdoba,2.41E+18,65031840520,0.04
La Independencia,-6.47E+17,64909657175,0.04
Villa Colombia,-6.41E+17,64909063380,0.04
Los Guayacanes,-2.44E+18,64908812720,0.04
Colseguros Andes,-7.25E+18,64908811800,0.04
Mariano Ramos,-5.98E+18,64908809960,0.04
El Jardín,-1.70E+18,64905670100,0.04
Calimio Desepaz,-2.88E+18,64801703290,0.04
Villa del Prado-El Guabito,-9.98E+17,64643091820,0.04
Sucre,1.59E+18,64567278200,0.04
Siete de Agosto,8.04E+18,64453789185,0.04
Área Libre-Parque del Amor,6.22E+18,64366937410,0.04
Siete de Agosto,-1.40E+17,64115253830,0.04
Colseguros Andes,-6.99E+18,64006201795,0.04
San Nicolás,-1.53E+18,63900593719,0.04
Ulpiano Lloreda,-4.87E+18,63819803810,0.04
Junin,3.22E+18,63621666174,0.04
Junin,-6.94E+18,63621596181,0.04
Mariano Ramos,-5.65E+18,63149294935,0.04
Calimio Desepaz,-7.44E+18,63050706310,0.04
La Fortaleza,1.89E+18,63047175510,0.04
Urbanización San Juaquín,-8.29E+18,62888446355,0.04
El Jardín,8.56E+18,62860663540,0.04
La Merced,8.76E+18,62546736620,0.04
Urbanización La Flora,7.82E+18,62474812846,0.04
San Pedro,-6.06E+18,62474737578,0.04
San Nicolás,-2.21E+18,62383817320,0.04
Alférez Real,-3.90E+18,62274818220,0.04
Calima,5.24E+17,62045271580,0.04
Calima,6.51E+18,61667006890,0.04
El Gran Limonar,3.89E+18,61311033773,0.04
El Gran Limonar,-4.22E+18,61248299695,0.04
Chapinero,-4.80E+18,61188350180,0.04
Ciudad Córdoba,-5.79E+18,61162645080,0.04
El Ingenio,4.48E+18,61154510475,0.04
Unidad Residencial Santiago de Cali,-7.36E+18,60919433350,0.04
San Nicolás,6.61E+18,60915407630,0.04
Unidad Residencial Santiago de Cali,-6.02E+18,60816387095,0.04
Unicentro Cali,-4.87E+18,60812296035,0.04
Villa del Prado-El Guabito,5.05E+18,60787082490,0.04
El Jardín,-4.10E+17,60758314160,0.04
Chapinero,-6.19E+18,60744047885,0.04
El Gran Limonar,-4.75E+18,60743343298,0.04
El Gran Limonar,-6.60E+18,60743342066,0.04
Bolivariano,-6.59E+18,60743297560,0.04
El Sena,1.86E+18,60743253300,0.04
San Vicente,-1.11E+18,60743158520,0.04
Versalles,8.56E+18,60743038895,0.04
Versalles,3.34E+18,60743038895,0.04
Versalles,8.12E+18,60743038895,0.04
El Sena,6.46E+18,60742992190,0.04
Chapinero,8.28E+18,60742935805,0.04
Chapinero,2.29E+18,60742843990,0.04
San Vicente,-3.77E+18,60742608465,0.04
San Nicolás,3.58E+18,60693665461,0.04
Colseguros Andes,6.55E+18,60523622770,0.04
San Nicolás,5.78E+18,60274121655,0.04
Nápoles,-7.19E+18,60256088800,0.04
Los Guaduales,-7.25E+18,60190247360,0.04
Colseguros Andes,-4.21E+18,60181096590,0.04
Villa del Prado-El Guabito,1.85E+18,59890224495,0.04
San Cayetano,-9.13E+18,59712771840,0.04
Sucre,2.36E+18,59249220655,0.04
San Nicolás,-1.68E+18,59186657992,0.04
San Nicolás,2.11E+18,59186650490,0.04
Calima,-2.03E+18,58787752885,0.04
El Calvario,-4.44E+18,58350133330,0.04
Ville Grande,-5.60E+18,58335746130,0.04
Ville Grande,-1.45E+18,58335746130,0.04
San Vicente,1.52E+18,58186026278,0.04
Primero de Mayo,-8.82E+18,58075272970,0.04
Primero de Mayo,8.08E+18,57720404705,0.04
La Independencia,7.36E+18,57509282495,0.04
La Ciudadela Confandi,6.13E+18,57315661230,0.04
Villa Colombia,-1.44E+18,57264707420,0.04
El Rodeo,-1.44E+18,57243729540,0.04
El Sena,-5.79E+18,57233835685,0.04
La Flora,-7.28E+18,57062980360,0.04
Los Guaduales,9.02E+17,57001674600,0.04
Quintas de Don Simón,-3.94E+18,56961125705,0.04
Colseguros Andes,-9.09E+18,56807472330,0.04
